blocktyp;url;sidtyp;h2_full;h2_bas;h2_accent;kvitto_rad1;sats;kommentar
ROT;https://ampy.se/elektriker/bromma/;Ortssida;Elektriker i Bromma med 30 % ROT-avdrag;Elektriker i Bromma med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/danderyd/;Ortssida;Elektriker i Danderyd med 30 % ROT-avdrag;Elektriker i Danderyd med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/ekero/;Ortssida;Elektriker i Ekerö med 30 % ROT-avdrag;Elektriker i Ekerö med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/enskede/;Ortssida;Elektriker i Enskede med 30 % ROT-avdrag;Elektriker i Enskede med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/farsta/;Ortssida;Elektriker i Farsta med 30 % ROT-avdrag;Elektriker i Farsta med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/flemingsberg/;Ortssida;Elektriker i Flemingsberg med 30 % ROT-avdrag;Elektriker i Flemingsberg med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/grondal/;Ortssida;Elektriker i Gröndal med 30 % ROT-avdrag;Elektriker i Gröndal med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/gullmarsplan/;Ortssida;Elektriker i Gullmarsplan med 30 % ROT-avdrag;Elektriker i Gullmarsplan med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/hagersten/;Ortssida;Elektriker i Hägersten med 30 % ROT-avdrag;Elektriker i Hägersten med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/haninge/;Ortssida;Elektriker i Haninge med 30 % ROT-avdrag;Elektriker i Haninge med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/hogdalen/;Ortssida;Elektriker i Högdalen med 30 % ROT-avdrag;Elektriker i Högdalen med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/huddinge/;Ortssida;Elektriker i Huddinge med 30 % ROT-avdrag;Elektriker i Huddinge med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/jarfalla/;Ortssida;Elektriker i Järfälla med 30 % ROT-avdrag;Elektriker i Järfälla med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/kungsangen/;Ortssida;Elektriker i Kungsängen med 30 % ROT-avdrag;Elektriker i Kungsängen med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/lidingo/;Ortssida;Elektriker i Lidingö med 30 % ROT-avdrag;Elektriker i Lidingö med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/marsta/;Ortssida;Elektriker i Märsta med 30 % ROT-avdrag;Elektriker i Märsta med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/nacka/;Ortssida;Elektriker i Nacka med 30 % ROT-avdrag;Elektriker i Nacka med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/norrtalje/;Ortssida;Elektriker i Norrtälje med 30 % ROT-avdrag;Elektriker i Norrtälje med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/nynashamn/;Ortssida;Elektriker i Nynäshamn med 30 % ROT-avdrag;Elektriker i Nynäshamn med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/osteraker/;Ortssida;Elektriker i Österåker med 30 % ROT-avdrag;Elektriker i Österåker med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/ragsved/;Ortssida;Elektriker i Rågsved med 30 % ROT-avdrag;Elektriker i Rågsved med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/ronninge/;Ortssida;Elektriker i Rönninge med 30 % ROT-avdrag;Elektriker i Rönninge med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/salem/;Ortssida;Elektriker i Salem med 30 % ROT-avdrag;Elektriker i Salem med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/segeltorp/;Ortssida;Elektriker i Segeltorp med 30 % ROT-avdrag;Elektriker i Segeltorp med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/sickla/;Ortssida;Elektriker i Sickla med 30 % ROT-avdrag;Elektriker i Sickla med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/sigtuna/;Ortssida;Elektriker i Sigtuna med 30 % ROT-avdrag;Elektriker i Sigtuna med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/skarholmen/;Ortssida;Elektriker i Skärholmen med 30 % ROT-avdrag;Elektriker i Skärholmen med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/skarpnack/;Ortssida;Elektriker i Skarpnäck med 30 % ROT-avdrag;Elektriker i Skarpnäck med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/skogas/;Ortssida;Elektriker i Skogås med 30 % ROT-avdrag;Elektriker i Skogås med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/skondal/;Ortssida;Elektriker i Sköndal med 30 % ROT-avdrag;Elektriker i Sköndal med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/sodertalje/;Ortssida;Elektriker i Södertälje med 30 % ROT-avdrag;Elektriker i Södertälje med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/sollentuna/;Ortssida;Elektriker i Sollentuna med 30 % ROT-avdrag;Elektriker i Sollentuna med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/solna/;Ortssida;Elektriker i Solna med 30 % ROT-avdrag;Elektriker i Solna med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/stockholm/;Ortssida;Elektriker i Stockholm med 30 % ROT-avdrag;Elektriker i Stockholm med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/stuvsta/;Ortssida;Elektriker i Stuvsta med 30 % ROT-avdrag;Elektriker i Stuvsta med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/sundbyberg/;Ortssida;Elektriker i Sundbyberg med 30 % ROT-avdrag;Elektriker i Sundbyberg med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/taby/;Ortssida;Elektriker i Täby med 30 % ROT-avdrag;Elektriker i Täby med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/tallkrogen/;Ortssida;Elektriker i Tallkrogen med 30 % ROT-avdrag;Elektriker i Tallkrogen med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/trangsund/;Ortssida;Elektriker i Trångsund med 30 % ROT-avdrag;Elektriker i Trångsund med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/tullinge/;Ortssida;Elektriker i Tullinge med 30 % ROT-avdrag;Elektriker i Tullinge med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/tumba/;Ortssida;Elektriker i Tumba med 30 % ROT-avdrag;Elektriker i Tumba med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/tyreso/;Ortssida;Elektriker i Tyresö med 30 % ROT-avdrag;Elektriker i Tyresö med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/upplands-vasby/;Ortssida;Elektriker i Upplands Väsby med 30 % ROT-avdrag;Elektriker i Upplands Väsby med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/upplands-bro/;Ortssida;Elektriker i Upplands-Bro med 30 % ROT-avdrag;Elektriker i Upplands-Bro med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/vallentuna/;Ortssida;Elektriker i Vallentuna med 30 % ROT-avdrag;Elektriker i Vallentuna med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/vallingby/;Ortssida;Elektriker i Vällingby med 30 % ROT-avdrag;Elektriker i Vällingby med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/varmdo/;Ortssida;Elektriker i Värmdö med 30 % ROT-avdrag;Elektriker i Värmdö med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elektriker/vaxholm/;Ortssida;Elektriker i Vaxholm med 30 % ROT-avdrag;Elektriker i Vaxholm med;30 % ROT-avdrag;Elarbete;30 %;
ROT;https://ampy.se/elinstallation/akersberga/;Ortssida;Elinstallation i Åkersberga med 30 % ROT-avdrag;Elinstallation i Åkersberga med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/alta/;Ortssida;Elinstallation i Älta med 30 % ROT-avdrag;Elinstallation i Älta med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/alvik/;Ortssida;Elinstallation i Alvik med 30 % ROT-avdrag;Elinstallation i Alvik med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/alvsjo/;Ortssida;Elinstallation i Älvsjö med 30 % ROT-avdrag;Elinstallation i Älvsjö med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/arsta/;Ortssida;Elinstallation i Årsta med 30 % ROT-avdrag;Elinstallation i Årsta med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/aspudden/;Ortssida;Elinstallation i Aspudden med 30 % ROT-avdrag;Elinstallation i Aspudden med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/bagarmossen/;Ortssida;Elinstallation i Bagarmossen med 30 % ROT-avdrag;Elinstallation i Bagarmossen med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/botkyrka/;Ortssida;Elinstallation i Botkyrka med 30 % ROT-avdrag;Elinstallation i Botkyrka med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/bromma/;Ortssida;Elinstallation i Bromma med 30 % ROT-avdrag;Elinstallation i Bromma med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/danderyd/;Ortssida;Elinstallation i Danderyd med 30 % ROT-avdrag;Elinstallation i Danderyd med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/ekero/;Ortssida;Elinstallation i Ekerö med 30 % ROT-avdrag;Elinstallation i Ekerö med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/enskede/;Ortssida;Elinstallation i Enskede med 30 % ROT-avdrag;Elinstallation i Enskede med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/farsta/;Ortssida;Elinstallation i Farsta med 30 % ROT-avdrag;Elinstallation i Farsta med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/flemingsberg/;Ortssida;Elinstallation i Flemingsberg med 30 % ROT-avdrag;Elinstallation i Flemingsberg med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/grondal/;Ortssida;Elinstallation i Gröndal med 30 % ROT-avdrag;Elinstallation i Gröndal med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/gullmarsplan/;Ortssida;Elinstallation i Gullmarsplan med 30 % ROT-avdrag;Elinstallation i Gullmarsplan med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/hagersten/;Ortssida;Elinstallation i Hägersten med 30 % ROT-avdrag;Elinstallation i Hägersten med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/haninge/;Ortssida;Elinstallation i Haninge med 30 % ROT-avdrag;Elinstallation i Haninge med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/hogdalen/;Ortssida;Elinstallation i Högdalen med 30 % ROT-avdrag;Elinstallation i Högdalen med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/huddinge/;Ortssida;Elinstallation i Huddinge med 30 % ROT-avdrag;Elinstallation i Huddinge med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/jarfalla/;Ortssida;Elinstallation i Järfälla med 30 % ROT-avdrag;Elinstallation i Järfälla med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/kungsangen/;Ortssida;Elinstallation i Kungsängen med 30 % ROT-avdrag;Elinstallation i Kungsängen med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/lidingo/;Ortssida;Elinstallation i Lidingö med 30 % ROT-avdrag;Elinstallation i Lidingö med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/marsta/;Ortssida;Elinstallation i Märsta med 30 % ROT-avdrag;Elinstallation i Märsta med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/nacka/;Ortssida;Elinstallation i Nacka med 30 % ROT-avdrag;Elinstallation i Nacka med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/norrtalje/;Ortssida;Elinstallation i Norrtälje med 30 % ROT-avdrag;Elinstallation i Norrtälje med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/nynashamn/;Ortssida;Elinstallation i Nynäshamn med 30 % ROT-avdrag;Elinstallation i Nynäshamn med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/osteraker/;Ortssida;Elinstallation i Österåker med 30 % ROT-avdrag;Elinstallation i Österåker med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/ragsved/;Ortssida;Elinstallation i Rågsved med 30 % ROT-avdrag;Elinstallation i Rågsved med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/ronninge/;Ortssida;Elinstallation i Rönninge med 30 % ROT-avdrag;Elinstallation i Rönninge med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/salem/;Ortssida;Elinstallation i Salem med 30 % ROT-avdrag;Elinstallation i Salem med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/segeltorp/;Ortssida;Elinstallation i Segeltorp med 30 % ROT-avdrag;Elinstallation i Segeltorp med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/sickla/;Ortssida;Elinstallation i Sickla med 30 % ROT-avdrag;Elinstallation i Sickla med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/sigtuna/;Ortssida;Elinstallation i Sigtuna med 30 % ROT-avdrag;Elinstallation i Sigtuna med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/skarholmen/;Ortssida;Elinstallation i Skärholmen med 30 % ROT-avdrag;Elinstallation i Skärholmen med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/skarpnack/;Ortssida;Elinstallation i Skarpnäck med 30 % ROT-avdrag;Elinstallation i Skarpnäck med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/skogas/;Ortssida;Elinstallation i Skogås med 30 % ROT-avdrag;Elinstallation i Skogås med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/skondal/;Ortssida;Elinstallation i Sköndal med 30 % ROT-avdrag;Elinstallation i Sköndal med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/sodertalje/;Ortssida;Elinstallation i Södertälje med 30 % ROT-avdrag;Elinstallation i Södertälje med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/sollentuna/;Ortssida;Elinstallation i Sollentuna med 30 % ROT-avdrag;Elinstallation i Sollentuna med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/solna/;Ortssida;Elinstallation i Solna med 30 % ROT-avdrag;Elinstallation i Solna med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/stockholm/;Ortssida;Elinstallation i Stockholm med 30 % ROT-avdrag;Elinstallation i Stockholm med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/stuvsta/;Ortssida;Elinstallation i Stuvsta med 30 % ROT-avdrag;Elinstallation i Stuvsta med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/sundbyberg/;Ortssida;Elinstallation i Sundbyberg med 30 % ROT-avdrag;Elinstallation i Sundbyberg med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/taby/;Ortssida;Elinstallation i Täby med 30 % ROT-avdrag;Elinstallation i Täby med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/tallkrogen/;Ortssida;Elinstallation i Tallkrogen med 30 % ROT-avdrag;Elinstallation i Tallkrogen med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/trangsund/;Ortssida;Elinstallation i Trångsund med 30 % ROT-avdrag;Elinstallation i Trångsund med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/tullinge/;Ortssida;Elinstallation i Tullinge med 30 % ROT-avdrag;Elinstallation i Tullinge med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/tumba/;Ortssida;Elinstallation i Tumba med 30 % ROT-avdrag;Elinstallation i Tumba med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/tyreso/;Ortssida;Elinstallation i Tyresö med 30 % ROT-avdrag;Elinstallation i Tyresö med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/upplands-vasby/;Ortssida;Elinstallation i Upplands Väsby med 30 % ROT-avdrag;Elinstallation i Upplands Väsby med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/upplands-bro/;Ortssida;Elinstallation i Upplands-Bro med 30 % ROT-avdrag;Elinstallation i Upplands-Bro med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/vallentuna/;Ortssida;Elinstallation i Vallentuna med 30 % ROT-avdrag;Elinstallation i Vallentuna med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/vallingby/;Ortssida;Elinstallation i Vällingby med 30 % ROT-avdrag;Elinstallation i Vällingby med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/varmdo/;Ortssida;Elinstallation i Värmdö med 30 % ROT-avdrag;Elinstallation i Värmdö med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elinstallation/vaxholm/;Ortssida;Elinstallation i Vaxholm med 30 % ROT-avdrag;Elinstallation i Vaxholm med;30 % ROT-avdrag;Elinstallation;30 %;
ROT;https://ampy.se/elservice/elcentral/;Tjänstesida;Byta elcentral med 30 % ROT-avdrag;Byta elcentral med;30 % ROT-avdrag;Elcentral + installation;30 %;
ROT;https://ampy.se/elservice/belysning/;Tjänstesida;Installera belysning med 30 % ROT-avdrag;Installera belysning med;30 % ROT-avdrag;Belysning + installation;30 %;
ROT;https://ampy.se/elservice/inomhusbelysning/;Tjänstesida;Installera inomhusbelysning med 30 % ROT-avdrag;Installera inomhusbelysning med;30 % ROT-avdrag;Inomhusbelysning + installation;30 %;
ROT;https://ampy.se/elservice/utomhusbelysning/;Tjänstesida;Installera utomhusbelysning med 30 % ROT-avdrag;Installera utomhusbelysning med;30 % ROT-avdrag;Utomhusbelysning + installation;30 %;
ROT;https://ampy.se/elservice/spotlights/;Tjänstesida;Installera spotlights med 30 % ROT-avdrag;Installera spotlights med;30 % ROT-avdrag;Spotlights + installation;30 %;
ROT;https://ampy.se/elservice/armatur/;Tjänstesida;Installera armatur med 30 % ROT-avdrag;Installera armatur med;30 % ROT-avdrag;Armatur + installation;30 %;
ROT;https://ampy.se/elservice/glodlampa/;Tjänstesida;Byta lampor och armatur med 30 % ROT-avdrag;Byta lampor och armatur med;30 % ROT-avdrag;Lampor och armatur + installation;30 %;H2 lyft från 'glödlampa' till 'lampor och armatur': ett lampbyte är för litet för ROT-argumentet.
ROT;https://ampy.se/elservice/strombrytare/;Tjänstesida;Byta strömbrytare med 30 % ROT-avdrag;Byta strömbrytare med;30 % ROT-avdrag;Strömbrytare + installation;30 %;
ROT;https://ampy.se/elservice/jordfelsbrytare/;Tjänstesida;Installera jordfelsbrytare med 30 % ROT-avdrag;Installera jordfelsbrytare med;30 % ROT-avdrag;Jordfelsbrytare + installation;30 %;
ROT;https://ampy.se/elservice/lastbalansering/;Tjänstesida;Installera lastbalansering med 30 % ROT-avdrag;Installera lastbalansering med;30 % ROT-avdrag;Lastbalansering + installation;30 %;
ROT;https://ampy.se/elservice/golvvarme/;Tjänstesida;Installera golvvärme med 30 % ROT-avdrag;Installera golvvärme med;30 % ROT-avdrag;Golvvärme + installation;30 %;
ROT;https://ampy.se/elservice/vitvaror/;Tjänstesida;Installera vitvaror med 30 % ROT-avdrag;Installera vitvaror med;30 % ROT-avdrag;Vitvaror + installation;30 %;
ROT;https://ampy.se/elservice/ugn-spis/;Tjänstesida;Installera ugn och spis med 30 % ROT-avdrag;Installera ugn och spis med;30 % ROT-avdrag;Ugn och spis + installation;30 %;
ROT;https://ampy.se/elservice/luftvarmepump/;Tjänstesida;Installera luftvärmepump med 30 % ROT-avdrag;Installera luftvärmepump med;30 % ROT-avdrag;Luftvärmepump + installation;30 %;OBS: luftvärmepump kan i vissa fall gå under Grön Teknik. Ägargrind innan publicering.
ROT;https://ampy.se/elservice/smarta-hem/;Tjänstesida;Installera smart hem med 30 % ROT-avdrag;Installera smart hem med;30 % ROT-avdrag;Smart hem + installation;30 %;
ROT;https://ampy.se/elservice/kok/;Tjänstesida;Elarbete i köket med 30 % ROT-avdrag;Elarbete i köket med;30 % ROT-avdrag;Elarbete i kök;30 %;
ROT;https://ampy.se/elservice/koksrenovering/;Tjänstesida;Köksrenovering med 30 % ROT-avdrag;Köksrenovering med;30 % ROT-avdrag;Köksrenovering + elarbete;30 %;
ROT;https://ampy.se/elservice/badrum/;Tjänstesida;Elarbete i badrummet med 30 % ROT-avdrag;Elarbete i badrummet med;30 % ROT-avdrag;Elarbete i badrum;30 %;
ROT;https://ampy.se/elservice/badrumsrenovering/;Tjänstesida;Badrumsrenovering med 30 % ROT-avdrag;Badrumsrenovering med;30 % ROT-avdrag;Badrumsrenovering + elarbete;30 %;
ROT;https://ampy.se/elservice/elrenovering/;Tjänstesida;Elrenovering med 30 % ROT-avdrag;Elrenovering med;30 % ROT-avdrag;Elrenovering;30 %;
INGET_BLOCK;https://ampy.se/elservice/elbesiktning/;Tjänstesida;;;;;;ROT gäller INTE besiktning (inget åtgärdande arbete) och besiktning täcks normalt inte av hemförsäkring (faktabas v2). Rekommendation: inget avdragsblock. Ägarbeslut.
GT_GENERISK;https://ampy.se/laddbox/;Hubb;Laddbox med 50 % Grön Teknik-avdrag;Laddbox med;50 % Grön Teknik-avdrag;Laddbox + installation;50 %;
GT_GENERISK;https://ampy.se/batterilagring/;Hubb;Solcellsbatteri med 50 % Grön Teknik-avdrag;Solcellsbatteri med;50 % Grön Teknik-avdrag;Solcellsbatteri + installation;50 %;Solcellsgrind: batteri kräver solceller för 50 %. Villkorsraden ska bära den på batteriytor.
GT_GENERISK;https://ampy.se/laddbox/akersberga/;Ortssida;Laddbox i Åkersberga med 50 % Grön Teknik-avdrag;Laddbox i Åkersberga med;50 % Grön Teknik-avdrag;Laddbox + installation;50 %;
GT_GENERISK;https://ampy.se/laddbox/alta/;Ortssida;Laddbox i Älta med 50 % Grön Teknik-avdrag;Laddbox i Älta med;50 % Grön Teknik-avdrag;Laddbox + installation;50 %;
GT_GENERISK;https://ampy.se/laddbox/alvik/;Ortssida;Laddbox i Alvik med 50 % Grön Teknik-avdrag;Laddbox i Alvik med;50 % Grön Teknik-avdrag;Laddbox + installation;50 %;
GT_GENERISK;https://ampy.se/laddbox/alvsjo/;Ortssida;Laddbox i Älvsjö med 50 % Grön Teknik-avdrag;Laddbox i Älvsjö med;50 % Grön Teknik-avdrag;Laddbox + installation;50 %;
GT_GENERISK;https://ampy.se/laddbox/arsta/;Ortssida;Laddbox i Årsta med 50 % Grön Teknik-avdrag;Laddbox i Årsta med;50 % Grön Teknik-avdrag;Laddbox + installation;50 %;
GT_GENERISK;https://ampy.se/laddbox/aspudden/;Ortssida;Laddbox i Aspudden med 50 % Grön Teknik-avdrag;Laddbox i Aspudden med;50 % Grön Teknik-avdrag;Laddbox + installation;50 %;
GT_GENERISK;https://ampy.se/laddbox/bagarmossen/;Ortssida;Laddbox i Bagarmossen med 50 % Grön Teknik-avdrag;Laddbox i Bagarmossen med;50 % Grön Teknik-avdrag;Laddbox + installation;50 %;
GT_GENERISK;https://ampy.se/laddbox/botkyrka/;Ortssida;Laddbox i Botkyrka med 50 % Grön Teknik-avdrag;Laddbox i Botkyrka med;50 % Grön Teknik-avdrag;Laddbox + installation;50 %;
GT_GENERISK;https://ampy.se/laddbox/bromma/;Ortssida;Laddbox i Bromma med 50 % Grön Teknik-avdrag;Laddbox i Bromma med;50 % Grön Teknik-avdrag;Laddbox + installation;50 %;
